0:21:16:19.25
1:22:18:20.25
2:23:20:21.5
3:24:21:22.25
4:24:21:22.5
5:25:21:23.0
6:25:22:23.5
7:25:24:24.75
8:25:20:22.5
9:25:22:22.75
10:25:19:21.75
11:25:19:22.25
12:25:17:21.75
13:25:22:24.0
14:25:21:23.5
15:25:21:23.5
16:25:21:23.25
17:25:19:22.75
18:25:22:23.5
19:25:22:23.5
20:25:20:23.0
21:25:23:24.0
22:25:22:23.75
23:25:20:23.25
24:25:19:23.25
25:25:21:24.0
26:25:23:24.5
27:25:22:23.5
28:25:23:24.5
29:25:23:24.25
30:25:22:24.25
31:25:23:24.25
32:25:18:22.25
33:25:22:23.75
34:25:21:23.0
35:25:20:22.5
36:25:23:23.75
37:25:19:23.0
38:25:20:23.75
39:26:24:25.0
40:27:23:25.25
41:27:24:26.0
42:27:23:25.0
43:27:23:25.0
44:27:22:23.75
45:27:20:23.25
46:27:21:23.25
47:27:22:25.0
48:27:24:25.75
49:27:24:25.75
50:27:24:25.75
51:27:24:26.25
52:27:22:24.0
53:27:20:23.0
54:27:21:23.75
55:27:19:22.5
56:27:22:24.5
57:27:23:25.25
58:27:22:24.0
59:27:23:25.25
60:27:24:25.75
61:27:25:26.0
62:27:21:23.25
63:27:22:25.0
64:27:24:24.75
65:27:21:24.25
66:27:24:25.0
67:27:23:24.75
68:27:22:24.75
69:27:24:25.75
70:27:24:25.25
71:27:24:26.25
72:27:24:25.5
73:27:26:26.25
74:27:23:25.25
75:27:23:25.25
76:27:20:23.5
77:27:23:25.0
78:27:21:24.25
79:27:23:24.5
80:27:24:25.25
81:27:22:24.75
82:27:24:25.0
83:27:22:24.75
84:27:22:25.25
85:27:21:24.75
86:27:24:25.5
87:27:22:24.75
88:27:24:25.0
89:27:24:25.5
90:27:21:23.25
91:27:23:25.75
92:27:24:25.0
93:27:22:24.75
94:27:21:23.75
95:27:18:22.0
96:27:22:24.25
97:27:23:25.0
98:27:24:25.5
99:27:24:24.75
100:27:21:24.5
101:27:24:25.25
102:27:24:25.5
103:27:22:23.75
104:27:21:23.5
105:27:20:24.5
106:27:23:25.25
107:27:23:25.25
108:27:24:25.75
109:27:23:24.75
110:27:23:25.0
111:27:22:25.0
112:27:20:24.5
113:27:21:23.75
114:27:21:23.5
115:27:21:24.0
116:27:15:21.5
117:27:21:23.25
118:27:22:24.25
119:27:23:25.0
120:27:23:25.5
121:27:20:24.5
122:27:25:25.5
123:27:23:25.0
124:27:21:24.75
125:27:24:25.25
126:27:20:23.25
127:27:21:24.0
128:27:20:24.5
129:27:22:24.75
130:27:24:26.0
131:27:23:25.25
132:27:26:26.75
133:27:22:25.0
134:27:20:25.0
135:27:22:25.25
136:27:23:25.75
137:27:24:25.5
138:27:20:25.0
139:27:25:26.25
140:27:19:24.0
141:27:25:26.0
142:27:25:26.0
143:27:24:25.75
144:27:25:25.5
145:27:22:24.25
146:27:21:24.0
147:27:20:24.75
148:27:19:24.0
149:27:21:22.75
150:27:21:24.0
151:27:23:24.75
152:27:23:25.25
153:27:24:25.5
154:27:22:25.0
155:27:21:23.0
156:27:21:24.75
157:27:18:24.25
158:27:18:24.5
159:27:20:24.25
160:27:21:24.75
161:27:24:26.25
162:27:24:25.5
163:27:19:23.25
164:27:23:25.0
165:27:22:25.25
166:27:21:24.0
167:27:20:23.25
168:27:19:24.75
169:27:22:24.25
170:27:24:25.5
171:27:24:25.75
172:27:25:25.5
173:27:23:25.25
174:27:17:22.25
175:28:22:25.0
